Collision k,Collision Time k,Position Ball k,ColorBall k
1,53.86,( 4-1 ) ,Green
2,54.2,( 3-1 ) ,Green
3,54.7,( 3-0 ) ,Green
4,55.18,( 2-0 ) ,Green
5,55.46,( 1-0 ) ,Green
6,55.72,( 0-0 ) ,Green
7,56.14,( 0-1 ) ,Green
8,56.5,( 0-2 ) ,Green
9,56.8,( 0-3 ) ,Green
10,57.18,( 0-4 ) ,Green
11,57.76,( 1-4 ) ,Green
12,59.06,( 2-3 ) ,Green
13,59.28,( 3-3 ) ,Green
14,59.48,( 3-2 ) ,Green
15,59.68,( 2-2 ) ,Green
16,60.94,( 1-1 ) ,Green
