pX,pY,pZ
-16.30438, -16.9579, -5.721198
-16.30438, -16.9579, -5.721198
-16.30797, -17.30102, -4.32658
-16.30297, -17.52931, -3.689099
-16.31479, -17.73003, -2.875787
-16.19526, -17.83781, -1.98667
-16.13738, -17.96815, -1.15543
-16.13738, -17.96815, -1.15543
-15.899, -18.16991, 0.7360792
-15.90526, -18.29546, 1.552208
-15.83595, -18.44495, 2.324309
-15.77551, -18.47227, 3.206439
-15.56752, -18.33686, 4.053993
-15.56752, -18.33686, 4.053993
-15.08216, -17.86019, 5.875209
-14.93007, -17.69481, 6.63016
-14.71017, -17.54445, 7.46644
-14.55227, -17.44501, 8.200117
-14.38481, -17.39788, 8.83806
-14.38481, -17.39788, 8.83806
-13.97384, -17.34409, 10.14465
-13.79643, -17.20157, 10.71721
-13.54367, -17.05728, 11.2939
-13.35962, -16.9395, 11.81719
-13.24853, -16.8203, 12.33376
-13.24853, -16.8203, 12.33376
-13.09712, -16.65194, 13.34184
-13.05629, -16.48316, 13.81994
-12.93665, -16.34203, 14.25658
-12.81624, -16.19975, 14.69231
-12.84068, -16.04012, 15.04142
-12.84068, -16.04012, 15.04142
-12.81676, -15.88468, 15.78636
-12.77229, -15.78411, 16.2433
-12.72739, -15.68246, 16.6993
-12.68004, -15.53398, 17.12497
-12.56086, -15.39992, 17.62934
-12.56086, -15.39992, 17.62934
-12.54943, -15.20407, 18.60343
-12.59723, -15.11163, 19.31548
-12.63992, -15.00195, 19.95153
-12.68636, -14.98251, 20.64336
-12.80764, -14.99281, 21.2832
-12.80764, -14.99281, 21.2832
-13.2103, -15.05604, 22.57375
-13.40189, -15.03365, 23.05657
-13.59107, -15.04239, 23.49409
-13.78203, -14.97192, 23.94587
-14.1269, -14.8862, 24.31304
-14.1269, -14.8862, 24.31304
-14.9725, -14.77741, 24.94398
-15.70411, -14.69405, 25.08887
-16.58874, -14.67558, 25.13051
-17.62276, -14.67558, 25.03907
-18.5768, -14.67558, 24.94976
-18.5768, -14.67558, 24.94976
-20.24526, -14.67558, 24.78214
-21.03925, -14.67558, 24.69726
-21.67418, -14.67558, 24.627
-22.38318, -14.70814, 24.50226
-23.0123, -14.74067, 24.38437
-23.0123, -14.74067, 24.38437
-24.25804, -14.87065, 24.05595
-24.78944, -15.00033, 23.81234
-25.31961, -15.12974, 23.56706
-25.92737, -15.25886, 23.30946
-26.3882, -15.32331, 23.15823
-26.3882, -15.32331, 23.15823
-27.36184, -15.58041, 22.66745
-27.72926, -15.70853, 22.43703
-28.02386, -15.80443, 22.26075
-28.16774, -15.86827, 22.15064
-28.23962, -15.90017, 22.09552
-28.23962, -15.90017, 22.09552
-28.24373, -15.9468, 22.12325
-28.19056, -16.02296, 22.30495
-28.22618, -16.1139, 22.5459
-28.19361, -16.21959, 22.86897
-28.2539, -16.38683, 23.27788
-28.2539, -16.38683, 23.27788
-28.2529, -16.73332, 24.36924
-28.3556, -16.87958, 25.0698
-28.47193, -17.08698, 25.86334
-28.5915, -17.34125, 26.67892
-28.71418, -17.6428, 27.51577
-28.71418, -17.6428, 27.51577
-28.92355, -18.15493, 28.9439
-28.9453, -18.34614, 29.65957
-28.96838, -18.45498, 30.38843
-28.98915, -18.43242, 31.10552
-29.03667, -18.3191, 32.01123
-29.03667, -18.3191, 32.01123
-29.22354, -17.79695, 33.88656
-29.26811, -17.45579, 34.78509
-29.30184, -17.09657, 35.6133
-29.34811, -16.57669, 36.5339
-29.40421, -15.9779, 37.52868
-29.40421, -15.9779, 37.52868
-29.43869, -14.59733, 39.60254
-29.33535, -13.77591, 40.73063
-29.29807, -13.05716, 41.72039
-29.17258, -12.46572, 42.72354
-29.04357, -11.86689, 43.71876
-29.04357, -11.86689, 43.71876
-28.61716, -10.5787, 45.84425
-28.31508, -10.20208, 46.95469
-28.07724, -9.978463, 47.89699
-27.93364, -9.898568, 48.88944
-27.87284, -9.994829, 49.83499
-27.87284, -9.994829, 49.83499
